epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,410.984,1.44555,0.84431,0.90055,0.76493,0.62115,0.67054,0.37113,1.47526,0.91427,0.91342,0.000828443,0.000828443,0.000828443
43,420.543,1.44164,0.84926,0.90445,0.79268,0.63378,0.68975,0.3717,1.4867,0.90882,0.92206,0.000820525,0.000820525,0.000820525
44,430.315,1.4617,0.85104,0.90659,0.79667,0.64632,0.7068,0.38464,1.465,0.89791,0.91035,0.000812468,0.000812468,0.000812468
45,440.232,1.41757,0.81956,0.8958,0.80843,0.64404,0.70605,0.38222,1.50768,0.89649,0.9113,0.000804277,0.000804277,0.000804277
46,450.246,1.47881,0.86051,0.90229,0.80169,0.63813,0.71166,0.37845,1.50082,0.91486,0.91531,0.000795954,0.000795954,0.000795954
47,460.291,1.42738,0.83369,0.90391,0.76404,0.61846,0.67414,0.3706,1.47418,0.95886,0.92395,0.000787503,0.000787503,0.000787503
48,469.778,1.44765,0.84789,0.90382,0.82026,0.61231,0.69695,0.38102,1.49431,0.90946,0.92381,0.000778929,0.000778929,0.000778929
49,479.499,1.44486,0.8311,0.89869,0.79834,0.66242,0.71357,0.39093,1.46198,0.87929,0.90576,0.000770234,0.000770234,0.000770234
50,489.348,1.43137,0.82566,0.89746,0.81586,0.64009,0.70878,0.38771,1.47933,0.88832,0.91875,0.000761423,0.000761423,0.000761423
51,499.098,1.42766,0.82264,0.89967,0.804,0.64103,0.70392,0.38521,1.47317,0.87686,0.91908,0.0007525,0.0007525,0.0007525
52,508.541,1.42051,0.80926,0.89236,0.79132,0.65193,0.71198,0.38778,1.47905,0.90007,0.91437,0.000743468,0.000743468,0.000743468
53,518.407,1.43282,0.81647,0.89077,0.77908,0.66522,0.71895,0.38805,1.48865,0.92062,0.91836,0.000734332,0.000734332,0.000734332
54,528.264,1.3984,0.79589,0.89086,0.79803,0.658,0.71932,0.39113,1.46198,0.87707,0.91348,0.000725094,0.000725094,0.000725094
55,538.067,1.40929,0.80666,0.89143,0.77485,0.65983,0.70775,0.38756,1.46346,0.88774,0.91065,0.000715761,0.000715761,0.000715761
56,547.781,1.40038,0.80039,0.89043,0.8174,0.65509,0.72701,0.39657,1.45622,0.8826,0.90603,0.000706335,0.000706335,0.000706335
57,557.931,1.40331,0.79839,0.88061,0.81602,0.66062,0.72598,0.39959,1.45895,0.85096,0.90824,0.00069682,0.00069682,0.00069682
58,567.904,1.36465,0.76908,0.88185,0.81642,0.65904,0.72791,0.3956,1.47073,0.85108,0.91504,0.000687222,0.000687222,0.000687222
59,577.747,1.40859,0.80038,0.88676,0.82291,0.66693,0.73439,0.4007,1.45505,0.86561,0.91488,0.000677543,0.000677543,0.000677543
60,587.723,1.39613,0.77968,0.88315,0.78564,0.63536,0.69311,0.38108,1.45806,0.8982,0.91106,0.000667789,0.000667789,0.000667789
61,597.534,1.35697,0.75837,0.87806,0.82125,0.66723,0.73207,0.40208,1.44251,0.86953,0.90284,0.000657963,0.000657963,0.000657963
62,607.34,1.35937,0.7577,0.8812,0.80555,0.65721,0.72067,0.39779,1.45525,0.84635,0.90568,0.000648071,0.000648071,0.000648071
63,617.226,1.37016,0.7702,0.88875,0.82015,0.67403,0.74003,0.40445,1.44043,0.85923,0.9098,0.000638115,0.000638115,0.000638115
64,626.821,1.37546,0.76584,0.88204,0.83166,0.65193,0.72795,0.40507,1.43063,0.82584,0.91152,0.000628101,0.000628101,0.000628101
65,636.735,1.37561,0.76281,0.87642,0.80181,0.65825,0.72276,0.39526,1.47654,0.86079,0.91179,0.000618034,0.000618034,0.000618034
66,646.574,1.34461,0.74883,0.88151,0.82183,0.66986,0.72653,0.40286,1.43607,0.86115,0.90524,0.000607916,0.000607916,0.000607916
67,656.232,1.34815,0.74745,0.88198,0.80828,0.65825,0.72485,0.40357,1.46014,0.85437,0.90924,0.000597754,0.000597754,0.000597754
68,666.076,1.3655,0.75606,0.87818,0.82953,0.65825,0.73385,0.40962,1.42996,0.82183,0.89572,0.000587551,0.000587551,0.000587551
69,675.88,1.35048,0.75566,0.88159,0.77438,0.66772,0.71394,0.40083,1.44112,0.85148,0.90423,0.000577311,0.000577311,0.000577311
70,685.735,1.34666,0.75046,0.87906,0.83756,0.65193,0.72386,0.40515,1.4401,0.83318,0.90854,0.00056704,0.00056704,0.00056704
71,695.515,1.36514,0.75283,0.87963,0.78702,0.68193,0.73323,0.40351,1.44402,0.86749,0.91187,0.000556742,0.000556742,0.000556742
72,705.085,1.33486,0.7378,0.87271,0.79184,0.6764,0.73046,0.40408,1.43703,0.8518,0.91308,0.000546421,0.000546421,0.000546421
73,715.003,1.32845,0.73486,0.87922,0.80165,0.66377,0.7306,0.41071,1.43307,0.83989,0.90088,0.000536081,0.000536081,0.000536081
74,724.876,1.32496,0.72737,0.87165,0.81087,0.64799,0.72378,0.40301,1.43565,0.85788,0.89722,0.000525728,0.000525728,0.000525728
75,734.938,1.32586,0.73574,0.87338,0.81168,0.6693,0.73834,0.41152,1.41418,0.84516,0.90002,0.000515366,0.000515366,0.000515366
76,744.641,1.32051,0.72897,0.8704,0.84531,0.64878,0.72737,0.40802,1.42035,0.84145,0.89645,0.000505,0.000505,0.000505
77,754.269,1.33417,0.74471,0.87307,0.77941,0.67487,0.72832,0.40764,1.42712,0.83469,0.89664,0.000494634,0.000494634,0.000494634
78,764.119,1.3502,0.75201,0.87653,0.82675,0.6478,0.72745,0.4101,1.42444,0.83619,0.89939,0.000484272,0.000484272,0.000484272
79,773.964,1.30741,0.72425,0.87309,0.80942,0.65667,0.72564,0.40399,1.41151,0.83612,0.90023,0.000473919,0.000473919,0.000473919
80,783.84,1.31678,0.71918,0.86532,0.78015,0.67482,0.72486,0.40033,1.43538,0.84087,0.90901,0.000463579,0.000463579,0.000463579
81,793.731,1.3244,0.71813,0.8669,0.80478,0.6764,0.73011,0.40515,1.44092,0.83235,0.90619,0.000453258,0.000453258,0.000453258
82,803.657,1.30242,0.71299,0.86033,0.79329,0.68152,0.72531,0.40047,1.45754,0.83464,0.91229,0.00044296,0.00044296,0.00044296
83,813.553,1.31724,0.72332,0.86956,0.79373,0.68942,0.73658,0.40906,1.43757,0.82349,0.90712,0.000432689,0.000432689,0.000432689
84,823.328,1.3053,0.71075,0.86757,0.8438,0.65667,0.73765,0.41069,1.42483,0.8253,0.90614,0.000422449,0.000422449,0.000422449
85,833.1,1.29618,0.70488,0.87107,0.82189,0.66298,0.73286,0.40902,1.42235,0.83445,0.9091,0.000412246,0.000412246,0.000412246
86,842.985,1.28666,0.70361,0.8688,0.83646,0.66535,0.73812,0.413,1.4229,0.83371,0.8991,0.000402084,0.000402084,0.000402084
87,852.969,1.29191,0.70149,0.86868,0.83385,0.66219,0.73944,0.41407,1.41409,0.8318,0.90561,0.000391966,0.000391966,0.000391966
88,862.812,1.27624,0.70155,0.86683,0.8247,0.68272,0.73605,0.41156,1.40854,0.82548,0.90364,0.000381899,0.000381899,0.000381899
89,872.385,1.27713,0.68804,0.86061,0.79494,0.68745,0.73996,0.41294,1.42361,0.83292,0.90243,0.000371885,0.000371885,0.000371885
90,882.177,1.25801,0.6897,0.86596,0.80968,0.67956,0.73471,0.40956,1.43316,0.83726,0.90611,0.000361929,0.000361929,0.000361929
91,891.925,1.27108,0.69045,0.85896,0.81869,0.68193,0.74454,0.41605,1.41802,0.82389,0.89779,0.000352037,0.000352037,0.000352037
92,901.77,1.26423,0.6882,0.86467,0.81952,0.68824,0.74616,0.41161,1.40782,0.81629,0.90141,0.000342211,0.000342211,0.000342211
93,911.514,1.25586,0.6763,0.8588,0.81445,0.66863,0.72848,0.41098,1.40333,0.82726,0.90235,0.000332457,0.000332457,0.000332457
94,921.645,1.24804,0.67139,0.86102,0.82509,0.68876,0.73999,0.41193,1.42983,0.83443,0.90231,0.000322778,0.000322778,0.000322778
95,931.369,1.23594,0.66688,0.85553,0.82523,0.67825,0.74009,0.41693,1.38936,0.82102,0.89292,0.00031318,0.00031318,0.00031318
96,941.065,1.24908,0.67602,0.85971,0.8365,0.66226,0.7385,0.41738,1.41013,0.83998,0.89708,0.000303665,0.000303665,0.000303665
97,950.925,1.24343,0.66842,0.85637,0.81614,0.68035,0.73464,0.41262,1.40863,0.83483,0.90438,0.000294239,0.000294239,0.000294239
98,960.771,1.24768,0.66037,0.85278,0.83083,0.67561,0.73738,0.41505,1.39584,0.81572,0.9013,0.000284906,0.000284906,0.000284906
99,970.625,1.23322,0.65553,0.85243,0.84269,0.6835,0.7463,0.41971,1.39691,0.81715,0.89552,0.000275668,0.000275668,0.000275668
100,980.148,1.2387,0.65617,0.85181,0.81652,0.69899,0.75172,0.41956,1.40877,0.82683,0.8979,0.000266532,0.000266532,0.000266532
101,989.738,1.23616,0.66548,0.8568,0.8181,0.67798,0.73872,0.41648,1.41098,0.83284,0.89644,0.0002575,0.0002575,0.0002575
102,999.573,1.22857,0.66527,0.85287,0.82202,0.66535,0.7385,0.41614,1.40664,0.82539,0.90018,0.000248577,0.000248577,0.000248577
103,1009.34,1.22791,0.65341,0.85375,0.83542,0.68907,0.74916,0.42119,1.39271,0.81662,0.9023,0.000239766,0.000239766,0.000239766
104,1019.17,1.19038,0.63892,0.84789,0.83129,0.66693,0.73362,0.42014,1.38811,0.80889,0.89945,0.000231071,0.000231071,0.000231071
105,1028.78,1.22907,0.65311,0.85185,0.83041,0.6764,0.74394,0.42458,1.37861,0.80462,0.89776,0.000222497,0.000222497,0.000222497
106,1038.66,1.23616,0.64854,0.85141,0.81641,0.68092,0.74145,0.42108,1.39119,0.82423,0.89441,0.000214046,0.000214046,0.000214046
107,1048.4,1.21619,0.64106,0.84698,0.8272,0.68035,0.73865,0.42236,1.39448,0.80867,0.89521,0.000205723,0.000205723,0.000205723
108,1058.09,1.20594,0.64305,0.84244,0.79944,0.70166,0.73908,0.42338,1.37209,0.79596,0.89475,0.000197532,0.000197532,0.000197532
109,1067.79,1.22013,0.64926,0.85023,0.79405,0.69076,0.73665,0.41948,1.38642,0.80703,0.89464,0.000189475,0.000189475,0.000189475
